<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.20	06:57:00	24691	24722	24691	24716	64	0	14
2021.08.20	06:58:00	24716	24731	24716	24730	43	0	14
2021.08.20	06:59:00	24729	24741	24726	24729	47	0	14
2021.08.20	08:00:00	24733	24741	24706	24731	76	0	14
2021.08.20	08:01:00	24731	24731	24686	24688	64	0	14
2021.08.20	08:02:00	24688	24692	24663	24664	75	0	14
2021.08.20	08:03:00	24662	24697	24659	24666	90	0	14
2021.08.20	08:04:00	24666	24666	24627	24628	79	0	14
2021.08.20	08:05:00	24628	24639	24619	24620	84	0	14
2021.08.20	08:06:00	24620	24686	24610	24683	119	0	14
2021.08.20	08:07:00	24687	24734	24687	24694	183	0	14
2021.08.20	08:08:00	24694	24734	24687	24734	114	0	14
2021.08.20	08:09:00	24734	24758	24734	24743	121	0	14
2021.08.20	08:10:00	24746	24794	24723	24791	153	0	14
2021.08.20	08:11:00	24791	24791	24752	24756	106	0	14
2021.08.20	08:12:00	24756	24779	24749	24749	101	0	14
2021.08.20	08:13:00	24749	24763	24740	24753	77	0	14
2021.08.20	08:14:00	24753	24760	24736	24755	73	0	14
2021.08.20	08:15:00	24754	24754	24705	24706	89	0	14
2021.08.20	08:16:00	24706	24708	24684	24700	93	0	14
2021.08.20	08:17:00	24700	24720	24687	24699	111	0	14
2021.08.20	08:18:00	24699	24706	24682	24687	89	0	14
2021.08.20	08:19:00	24687	24687	24650	24656	97	0	14
2021.08.20	08:20:00	24656	24684	24653	24673	109	0	14
2021.08.20	08:21:00	24673	24693	24663	24692	91	0	14
2021.08.20	08:22:00	24692	24698	24664	24677	83	0	14
2021.08.20	08:23:00	24677	24677	24642	24642	82	0	14
2021.08.20	08:24:00	24641	24666	24641	24661	77	0	14
2021.08.20	08:25:00	24661	24663	24632	24650	96	0	14
2021.08.20	08:26:00	24650	24650	24618	24630	75	0	14
2021.08.20	08:27:00	24633	24654	24613	24633	84	0	14
2021.08.20	08:28:00	24633	24643	24609	24623	79	0	14
2021.08.20	08:29:00	24624	24684	24620	24665	92	0	14
2021.08.20	08:30:00	24667	24719	24666	24716	111	0	14
2021.08.20	08:31:00	24716	24716	24662	24685	101	0	14
2021.08.20	08:32:00	24685	24720	24681	24709	97	0	14
2021.08.20	08:33:00	24709	24709	24687	24694	81	0	14
2021.08.20	08:34:00	24694	24711	24690	24711	76	0	14
2021.08.20	08:35:00	24711	24729	24697	24698	84	0	14
2021.08.20	08:36:00	24698	24705	24688	24698	79	0	14
2021.08.20	08:37:00	24698	24732	24693	24731	100	0	14
2021.08.20	08:38:00	24731	24732	24692	24696	73	0	14
2021.08.20	08:39:00	24696	24708	24686	24703	71	0	14
2021.08.20	08:40:00	24703	24717	24690	24690	72	0	14
2021.08.20	08:41:00	24690	24703	24683	24701	63	0	14
2021.08.20	08:42:00	24701	24702	24673	24673	71	0	14
2021.08.20	08:43:00	24673	24682	24666	24672	71	0	14
2021.08.20	08:44:00	24672	24692	24670	24687	79	0	14
2021.08.20	08:45:00	24687	24734	24685	24725	106	0	14
2021.08.20	08:46:00	24725	24734	24702	24728	82	0	14
2021.08.20	08:47:00	24728	24747	24720	24741	89	0	14
2021.08.20	08:48:00	24741	24774	24736	24771	96	0	14
2021.08.20	08:49:00	24771	24772	24738	24739	87	0	14
2021.08.20	08:50:00	24739	24800	24739	24800	91	0	14
2021.08.20	08:51:00	24800	24800	24771	24776	98	0	14
2021.08.20	08:52:00	24776	24777	24749	24756	102	0	14
2021.08.20	08:53:00	24756	24762	24742	24745	65	0	14
2021.08.20	08:54:00	24745	24785	24739	24778	85	0	14
2021.08.20	08:55:00	24778	24787	24766	24787	56	0	14
2021.08.20	08:56:00	24793	24795	24770	24777	83	0	14
2021.08.20	08:57:00	24777	24788	24766	24788	65	0	14
2021.08.20	08:58:00	24788	24804	24775	24803	73	0	14
2021.08.20	08:59:00	24803	24808	24758	24783	87	0	14
2021.08.20	09:00:00	24783	24789	24756	24756	86	0	14
2021.08.20	09:01:00	24756	24756	24733	24739	73	0	14
2021.08.20	09:02:00	24739	24771	24738	24765	90	0	14
2021.08.20	09:03:00	24765	24828	24762	24823	103	0	14
2021.08.20	09:04:00	24823	24833	24807	24830	78	0	14
2021.08.20	09:05:00	24831	24855	24819	24855	87	0	14
2021.08.20	09:06:00	24855	24882	24841	24882	96	0	14
2021.08.20	09:07:00	24882	24893	24838	24848	126	0	14
2021.08.20	09:08:00	24847	24885	24846	24875	80	0	14
2021.08.20	09:09:00	24875	24890	24870	24877	80	0	14
2021.08.20	09:10:00	24877	24878	24839	24845	86	0	14
2021.08.20	09:11:00	24845	24874	24845	24874	74	0	14
2021.08.20	09:12:00	24874	24897	24874	24892	84	0	14
2021.08.20	09:13:00	24892	24922	24887	24920	71	0	14
2021.08.20	09:14:00	24920	24958	24911	24952	86	0	14
2021.08.20	09:15:00	24952	24970	24926	24937	111	0	14
2021.08.20	09:16:00	24935	24935	24882	24889	118	0	14
2021.08.20	09:17:00	24889	24926	24883	24917	87	0	14
2021.08.20	09:18:00	24917	24933	24902	24924	75	0	14
2021.08.20	09:19:00	24924	24928	24901	24922	72	0	14
2021.08.20	09:20:00	24922	24930	24900	24908	65	0	14
2021.08.20	09:21:00	24908	24917	24890	24905	69	0	14
2021.08.20	09:22:00	24905	24923	24902	24908	74	0	14
2021.08.20	09:23:00	24908	24923	24893	24898	73	0	14
2021.08.20	09:24:00	24898	24899	24878	24898	63	0	14
2021.08.20	09:25:00	24898	24904	24888	24898	60	0	14
2021.08.20	09:26:00	24898	24909	24887	24895	69	0	14
2021.08.20	09:27:00	24895	24920	24895	24911	60	0	14
2021.08.20	09:28:00	24911	24911	24874	24877	67	0	14
2021.08.20	09:29:00	24877	24901	24875	24900	62	0	14
2021.08.20	09:30:00	24900	24916	24880	24916	68	0	14
2021.08.20	09:31:00	24916	24916	24886	24889	54	0	14
2021.08.20	09:32:00	24889	24898	24880	24880	57	0	14
2021.08.20	09:33:00	24880	24884	24869	24880	58	0	14
2021.08.20	09:34:00	24880	24886	24840	24847	92	0	14
2021.08.20	09:35:00	24847	24849	24825	24828	76	0	14
2021.08.20	09:36:00	24828	24853	24828	24848	70	0	14
2021.08.20	09:37:00	24848	24869	24848	24866	56	0	14
2021.08.20	09:38:00	24866	24885	24860	24885	59	0	14
2021.08.20	09:39:00	24885	24895	24874	24875	64	0	14
2021.08.20	09:40:00	24875	24895	24874	24891	60	0	14
2021.08.20	09:41:00	24891	24899	24876	24880	57	0	14
2021.08.20	09:42:00	24880	24894	24867	24890	78	0	14
2021.08.20	09:43:00	24890	24899	24879	24897	62	0	14
2021.08.20	09:44:00	24897	24898	24879	24889	48	0	14
2021.08.20	09:45:00	24890	24891	24855	24862	52	0	14
2021.08.20	09:46:00	24861	24861	24851	24855	48	0	14
2021.08.20	09:47:00	24855	24862	24852	24858	52	0	14
2021.08.20	09:48:00	24858	24866	24856	24858	43	0	14
2021.08.20	09:49:00	24858	24875	24854	24854	60	0	14
2021.08.20	09:50:00	24854	24865	24850	24863	52	0	14
2021.08.20	09:51:00	24863	24883	24859	24881	52	0	14
2021.08.20	09:52:00	24881	24887	24872	24887	48	0	14
2021.08.20	09:53:00	24887	24895	24881	24881	51	0	14
2021.08.20	09:54:00	24881	24893	24875	24877	58	0	14
2021.08.20	09:55:00	24877	24889	24875	24888	52	0	14
2021.08.20	09:56:00	24888	24888	24872	24881	47	0	14
2021.08.20	09:57:00	24878	24880	24852	24852	60	0	14
2021.08.20	09:58:00	24852	24864	24847	24864	56	0	14
2021.08.20	09:59:00	24864	24876	24858	24869	59	0	14
2021.08.20	10:00:00	24869	24869	24842	24857	75	0	14
2021.08.20	10:01:00	24857	24878	24840	24845	68	0	14
2021.08.20	10:02:00	24845	24872	24845	24864	64	0	14
2021.08.20	10:03:00	24864	24866	24826	24827	53	0	14
2021.08.20	10:04:00	24827	24854	24826	24841	70	0	14
2021.08.20	10:05:00	24840	24854	24836	24838	64	0	14
2021.08.20	10:06:00	24838	24852	24828	24828	72	0	14
2021.08.20	10:07:00	24828	24834	24825	24827	44	0	14
2021.08.20	10:08:00	24827	24849	24826	24832	55	0	14
2021.08.20	10:09:00	24832	24867	24831	24847	64	0	14
2021.08.20	10:10:00	24847	24861	24833	24833	61	0	14
